"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat", " plateau de Langres", ""
"geogFeat", "Adour", "rivière"
"geogFeat", "Adour", "rivière"
"geogFeat", "Adriatique", "mer"
"geogFeat", "Agout", "rivière"
"geogFeat", "Ain", "rivière"
"geogFeat", "Ain", "rivière"
"geogFeat", "Aisne", "rivière"
"geogFeat", "Alma", "fleuve"
"geogFeat", "Alpes", "montagne"
"geogFeat", "Alpes", "montagne"
"geogFeat", "Aprouague", "fleuve"
"geogFeat", "Archipel", ""
"geogFeat", "Ardennes", "montagne"
"geogFeat", "Ariège", "rivière"
"geogFeat", "Arkansas", "rivière"
"geogFeat", "Athènes", ""
"geogFeat", "Atlantique", "océan"
"geogFeat", "Atlantique", "océan"
"geogFeat", "Atlantique", "océan"
"geogFeat", "Atlantique", "océan"
"geogFeat", "Atlantique", "océan"
"geogFeat", "Atlantique", "océan"
"geogFeat", "Atlantique", "océan"
"geogFeat", "Atlantique", "océan"
"geogFeat", "Aude", "fleuve"
"geogFeat", "Aude", "rivière"
"geogFeat", "Aude", "rivière"
"geogFeat", "Aveyron", "rivière"
"geogFeat", "Avre", "fleuve"
"geogFeat", "Baltique", "mer"
"geogFeat", "Bangouéolo", "lac"
"geogFeat", "Bourgogne", ""
"geogFeat", "Briare", ""
"geogFeat", "Bérésina", "rivière"
"geogFeat", "Bérésina", "rivière"
"geogFeat", "CATARACTE DU NIAGARA", ""
"geogFeat", "Centre", ""
"geogFeat", "Cher", "rivière"
"geogFeat", "Chiroua", "lac"
"geogFeat", "Compiègne", "forêt"
"geogFeat", "Congo", "fleuve"
"geogFeat", "Congo", "fleuve"
"geogFeat", "Corfou", ""
"geogFeat", "Corinthe", ""
"geogFeat", "Coron", ""
"geogFeat", "Cèvennes", "montagne"
"geogFeat", "Cévennes", "montagne"
"geogFeat", "Delaware", "fleuve"
"geogFeat", "Dordogne", "fleuve"
"geogFeat", "Doubs", "rivière"
"geogFeat", "Doubs", "rivière"
"geogFeat", "Durance", "rivière"
"geogFeat", "Durance", "rivière"
"geogFeat", "Durance", "rivière"
"geogFeat", "Elbe", ""
"geogFeat", "Erié", "lac"
"geogFeat", "Erié", "lac"
"geogFeat", "Escaut", ""
"geogFeat", "Escaut", "fleuve"
"geogFeat", "Escaut", "fleuve"
"geogFeat", "Escaut", "fleuve"
"geogFeat", "Escaut", "fleuve"
"geogFeat", "Escaut", "fleuve"
"geogFeat", "Escaut", "fleuve"
"geogFeat", "Escaut", "fleuve"
"geogFeat", "Escaut", "fleuve"
"geogFeat", "Euphrate", "fleuve"
"geogFeat", "Eure", "rivière"
"geogFeat", "Fontainebleau", "forêt"
"geogFeat", "Gard", "rivière"
"geogFeat", "Gard", "rivière"
"geogFeat", "Gard", "rivière"
"geogFeat", "Gard", "rivière"
"geogFeat", "Garonne", "fleuve"
"geogFeat", "Garonne", "fleuve"
"geogFeat", "Garonne", "fleuve"
"geogFeat", "Garonne", "fleuve"
"geogFeat", "Gers", "rivière"
"geogFeat", "Grand Désert", ""
"geogFeat", "Grand Désert", "désert"
"geogFeat", "Grand Désert", "désert"
"geogFeat", "Grand Désert", "désert"
"geogFeat", "Grand Désert", "désert"
"geogFeat", "Grand Désert", "désert"
"geogFeat", "Grand-Ours", "lac"
"geogFeat", "Hermopolis", ""
"geogFeat", "Hudson", "fleuve"
"geogFeat", "Hudson", "fleuve"
"geogFeat", "Hudson", "fleuve"
"geogFeat", "Hudson", "fleuve"
"geogFeat", "Huron", "lac"
"geogFeat", "Hérault", "fleuve"
"geogFeat", "Hérault", "rivière"
"geogFeat", "Hérault", "rivière"
"geogFeat", "Ionienne", "mer"
"geogFeat", "Isle", "rivière"
"geogFeat", "Isly", "rivière"
"geogFeat", "Jura", "montagne"
"geogFeat", "Jura", "montagne"
"geogFeat", "Jura", "montagne"
"geogFeat", "Loire", "fleuve"
"geogFeat", "Loire", "fleuve"
"geogFeat", "Loire", "fleuve"
"geogFeat", "Loire", "fleuve"
"geogFeat", "Loire", "fleuve"
"geogFeat", "Lot", "rivière"
"geogFeat", "Manche", ""
"geogFeat", "Manche", ""
"geogFeat", "Manche", "mer"
"geogFeat", "Manche", "mer"
"geogFeat", "Manche", "mer"
"geogFeat", "Marne", ""
"geogFeat", "Marne", "fleuve"
"geogFeat", "Marne", "rivière"
"geogFeat", "Marne", "rivière"
"geogFeat", "Meuse", "rivière"
"geogFeat", "Michigan", "lac"
"geogFeat", "Midi", ""
"geogFeat", "Mississipi", "fleuve"
"geogFeat", "Missouri", "rivière"
"geogFeat", "Morvan", "montagne"
"geogFeat", "Moselle", "rivière"
"geogFeat", "Moselle", "rivière"
"geogFeat", "Moye", "fleuve"
"geogFeat", "Méditerranée", ""
"geogFeat", "Méditerranée", ""
"geogFeat", "Méditerranée", "mer"
"geogFeat", "Méditerranée", "mer"
"geogFeat", "Méditerranée", "mer"
"geogFeat", "Méditerranée", "mer"
"geogFeat", "Méditerranée", "mer"
"geogFeat", "Méditerranée", "mer"
"geogFeat", "Méditerranée", "mer"
"geogFeat", "Méditerranée", "mer"
"geogFeat", "Méditerranée", "mer"
"geogFeat", "Méditerranée", "mer"
"geogFeat", "Méditerranée", "mer"
"geogFeat", "Méditerranée", "mer"
"geogFeat", "Nantes à Brest", ""
"geogFeat", "Nauplie", ""
"geogFeat", "Navarin", ""
"geogFeat", "Niagara", ""
"geogFeat", "Niagara", ""
"geogFeat", "Niagara", ""
"geogFeat", "Niagara", ""
"geogFeat", "Niagara", "rivière"
"geogFeat", "Niagara", "rivière"
"geogFeat", "Niger", ""
"geogFeat", "Niger", "fleuve"
"geogFeat", "Niger supérieur", ""
"geogFeat", "Nil", "fleuve"
"geogFeat", "Nil", "fleuve"
"geogFeat", "Nivernais", ""
"geogFeat", "Nonette", "rivière"
"geogFeat", "Nyassa", "lac"
"geogFeat", "Océan", "océan"
"geogFeat", "Ogoué", "fleuve"
"geogFeat", "Ogoué", "fleuve"
"geogFeat", "Ohio", "rivière"
"geogFeat", "Oise", "rivière"
"geogFeat", "Ontario", "lac"
"geogFeat", "Ontario", "lac"
"geogFeat", "Orléans", "forêt"
"geogFeat", "Orne", "rivière"
"geogFeat", "Oudjiji", "lac"
"geogFeat", "Oudjiji", "lac"
"geogFeat", "Pacifique", "océan"
"geogFeat", "Patras", ""
"geogFeat", "Pyrénées", "montagne"
"geogFeat", "Pyrénées", "montagne"
"geogFeat", "Pyrénées", "montagne"
"geogFeat", "Pyrénées", "montagne"
"geogFeat", "Pô", "rivière"
"geogFeat", "Rhin", ""
"geogFeat", "Rhône", "fleuve"
"geogFeat", "Rhône", "fleuve"
"geogFeat", "Rhône", "fleuve"
"geogFeat", "Rhône", "fleuve"
"geogFeat", "Rhône", "fleuve"
"geogFeat", "Rhône", "fleuve"
"geogFeat", "Rhône", "fleuve"
"geogFeat", "Rhône", "fleuve"
"geogFeat", "Rhône  au Rhin", ""
"geogFeat", "Sahara", ""
"geogFeat", "Sahara", "désert"
"geogFeat", "Sahara", "désert"
"geogFeat", "Sahara", "désert"
"geogFeat", "Sahara", "désert"
"geogFeat", "Sahara", "désert"
"geogFeat", "Sahara", "désert"
"geogFeat", "Saône", "rivière"
"geogFeat", "Saône", "rivière"
"geogFeat", "Saône", "rivière"
