"elementName", "elementContent", "typeAttributeIfPresent"
"persName", "M. LAPORTE", "historique"
"persName", "Suzette", "fictif"
"persName", "Suzette,", "fictif"
"placeName", "Falaise", ""
"placeName", "Falaise", ""
"placeName", "Normandie", ""
"persName", "Suzette,", "fictif"
"persName", "E. LAPORTE", "historique"
"placeName", "Falaise", ""
"placeName", "Normandie", ""
"placeName", "Falaise", ""
"placeName", "Falaise", ""
"placeName", "États-Unis", ""
"placeName", "Alleghany", ""
"placeName", "Europe", ""
"placeName", "Valachie", ""
"placeName", "Caspienne", ""
"persName", "Charlot,", "fictif"
"placeName", "Fragicourt", "fictif"
"persName", "Mathias Dumay", "fictif"
"persName", "Suzette,", "fictif"
"persName", "Jacques,", "fictif"
"persName", "Charlot,", "fictif"
"persName", "François,", "fictif"
"persName", "François,", "fictif"
"persName", "Suzette,", "fictif"
"persName", "François,", "fictif"
"persName", "Charlot,", "fictif"
"persName", "Charlot,", "fictif"
"persName", "Jacques,", "fictif"
"persName", "Suzette,", "fictif"
"persName", "François,", "fictif"
"persName", "Suzette,", "fictif"
"persName", "François,", "fictif"
"persName", "Charlot.", "fictif"
"persName", "Charlot,", "fictif"
"persName", "Charlot,", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Mme Valon", "fictif"
"placeName", "Fragicourt", "fictif"
"placeName", "France", ""
"placeName", "Sibérie", ""
"placeName", "Canada", ""
"persName", "Mme Valon", "fictif"
"placeName", "France", ""
"placeName", "France", ""
"placeName", "Sibérie", ""
"persName", "Mme Valon", "fictif"
"persName", "Suzette,", "fictif"
"persName", "Suzette", "fictif"
"persName", "Mme Liénard", "fictif"
"persName", "M. Valon", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Suzette,", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Suzette,", "fictif"
"persName", "Suzette,", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Suzette,", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "M. Valon", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette,", "fictif"
"placeName", "France", ""
"placeName", "les Alpes", ""
"placeName", "les Pyrénées", ""
"placeName", "le nord de l'Afrique", ""
"placeName", "la Syrie", ""
"placeName", "l'Asie centrale", ""
"placeName", "les Pyrénées", ""
"placeName", "l'Italie méridionale", ""
"placeName", "Afrique", ""
"persName", "Mme Valon", "fictif"
"persName", "E. LAPORTE", "historique"
"persName", "Suzette,", "fictif"
"persName", "François,", "fictif"
"persName", "François,", "fictif"
"persName", "Jacques,", "fictif"
"persName", "Charlot", "fictif"
"persName", "François,", "fictif"
"persName", "François,", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Suzette,", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "François,", "fictif"
"persName", "Suzette", "fictif"
"placeName", "Chili", ""
"placeName", "Pérou", ""
"placeName", "Europe", ""
"placeName", "Amérique", ""
"placeName", "Beauvais", ""
"persName", "Charles le Téméraire", "historique"
"persName", "Charles le Téméraire", "historique"
"persName", "Duc de Bourgogne", "historique"
"persName", "Jeanne Hachette", "historique"
"placeName", "Lorraine", ""
"placeName", "Villedieu", ""
"persName", "Jeanne Hachette", "historique"
"persName", "Suzanne Didier", "historique"
"persName", "Jeanne d'Arc", "historique"
"persName", "Jacques,", "fictif"
"persName", "Charlot,", "fictif"
"persName", "François,", "fictif"
